question_id,parsed_result_answer,prompt,desc_id,given_info,question,answer,meta,reasoning,model_id,background,rung,n_edges,n_vars,simpson,anticommonsense,nonsense,has_anticommonsense
14890,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer.
        


For people who do not listen to jazz, the probability of lung cancer is 45%. For people who listen to jazz, the probability of lung cancer is 60%.



Will listening to jazz increase the chance of lung cancer?",smoking_tar_cancer-chain-ate-model2134-spec4-q0,"For people who do not listen to jazz, the probability of lung cancer is 45%. For people who listen to jazz, the probability of lung cancer is 60%.",Will listening to jazz increase the chance of lung cancer?,yes,"{'story_id': 'smoking_tar_cancer', 'graph_id': 'chain', 'treated': True, 'result': True, 'polarity': True, 'groundtruth': 0.15276172030000001, 'query_type': 'ate', 'rung': 2, 'formal_form': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'given_info': {'p(Y | X)': [0.4510986581, 0.6038603784000001]}, 'estimand': 'P(Y=1|X=1) - P(Y=1|X=0)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 2134}","{'step0': 'Let X = listening to jazz; V2 = tar deposit; Y = lung cancer.', 'step1': 'X->V2,V2->Y', 'step2': 'E[Y | do(X = 1)] - E[Y | do(X = 0)]', 'step3': 'P(Y=1|X=1) - P(Y=1|X=0)', 'step4': 'P(Y=1 | X=0) = 0.45\nP(Y=1 | X=1) = 0.60', 'step5': '0.60 - 0.45 = 0.15', 'end': '0.15 > 0'}",2134,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer.",2,2,3,,"{'variable': 'X', 'change': 'listens to jazz'}",,True
14879,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer.
        


Method 1: We look directly at how listening to jazz correlates with lung cancer in general. Method 2: We look at this correlation case by case according to tar deposit.



To understand how listening to jazz affects lung cancer, is it more correct to use the Method 1 than Method 2?",smoking_tar_cancer-chain-backadj-model2131-spec1-q1,Method 1: We look directly at how listening to jazz correlates with lung cancer in general. Method 2: We look at this correlation case by case according to tar deposit.,"To understand how listening to jazz affects lung cancer, is it more correct to use the Method 1 than Method 2?",yes,"{'story_id': 'smoking_tar_cancer', 'graph_id': 'chain', 'flipped': False, 'polarity': True, 'groundtruth': [], 'bad_candidate_set': ['V2'], 'given_info': [[], ['V2']], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 2131}",,2131,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Listening to jazz has a direct effect on tar deposit. Tar deposit has a direct effect on lung cancer.",2,2,3,,"{'variable': 'X', 'change': 'listens to jazz'}",,True
24080,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vubr has a direct effect on zuph and uvzi. Zuph has a direct effect on wibl. Wibl has a direct effect on uvzi. Vubr is unobserved.
        


The overall probability of zuph is 69%. The probability of not zuph and uvzi is 11%. The probability of zuph and uvzi is 24%.



Is the chance of uvzi larger when observing zuph?",nonsense7-frontdoor-correlation-model2966-spec6-q0,The overall probability of zuph is 69%. The probability of not zuph and uvzi is 11%. The probability of zuph and uvzi is 24%.,Is the chance of uvzi larger when observing zuph?,no,"{'story_id': 'nonsense7', 'graph_id': 'frontdoor', 'given_info': {'P(X=1)': 0.6885155687000001, 'P(Y=1, X=0)': 0.1128821423, 'P(Y=1, X=1)': 0.2447633609}, 'treated': True, 'polarity': True, 'groundtruth': -0.0069062909000000006, 'query_type': 'correlation', 'rung': 1, 'formal_form': 'P(Y | X)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 2966}","{'step0': 'Let V1 = vubr; X = zuph; V3 = wibl; Y = uvzi.', 'step1': 'V1->X,X->V3,V1->Y,V3->Y', 'step2': 'P(Y | X)', 'step3': 'P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)', 'step4': 'P(X=1=1) = 0.69\nP(Y=1, X=0=1) = 0.11\nP(Y=1, X=1=1) = 0.24', 'step5': '0.24/0.69 - 0.11/0.31 = -0.01', 'end': '-0.01 < 0'}",2966,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Vubr has a direct effect on zuph and uvzi. Zuph has a direct effect on wibl. Wibl has a direct effect on uvzi. Vubr is unobserved.",1,4,4,,,1.0,False
18579,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Eating citrus has a direct effect on vitmain C. Vitmain C has a direct effect on curly hair.
        


For patients not consuming citrus, the probability of curly hair is 61%. For patients consuming citrus, the probability of curly hair is 45%.



Does eating citrus positively affect curly hair through vitmain C?",orange_scurvy-chain-nie-model5725-spec21-q0,"For patients not consuming citrus, the probability of curly hair is 61%. For patients consuming citrus, the probability of curly hair is 45%.",Does eating citrus positively affect curly hair through vitmain C?,no,"{'story_id': 'orange_scurvy', 'graph_id': 'chain', 'mediators': ['V2'], 'polarity': True, 'groundtruth': -0.1630436889, 'query_type': 'nie', 'rung': 3, 'formal_form': 'E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]', 'given_info': {'p(Y | X)': [0.6097224763, 0.4466787873]}, 'estimand': 'P(Y=1|X=1) - P(Y=1|X=0)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 5725}","{'step0': 'Let X = eating citrus; V2 = vitmain C; Y = curly hair.', 'step1': 'X->V2,V2->Y', 'step2': 'E[Y_{X=0, V2=1} - Y_{X=0, V2=0}]', 'step3': 'P(Y=1|X=1) - P(Y=1|X=0)', 'step4': 'P(Y=1 | X=0) = 0.61\nP(Y=1 | X=1) = 0.45', 'step5': '0.45 - 0.61 = -0.16', 'end': '-0.16 < 0'}",5725,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Eating citrus has a direct effect on vitmain C. Vitmain C has a direct effect on curly hair.",3,2,3,,"{'variable': 'Y', 'change': 'curly hair'}",,True
2555,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved.
        


The overall probability of male gender is 42%. For individuals who are not male, the probability of high salary is 33%. For individuals who are male, the probability of high salary is 70%.



Is high salary less likely than low salary overall?",gender_pay-arrowhead-marginal-model587-spec17-q1,"The overall probability of male gender is 42%. For individuals who are not male, the probability of high salary is 33%. For individuals who are male, the probability of high salary is 70%.",Is high salary less likely than low salary overall?,yes,"{'story_id': 'gender_pay', 'graph_id': 'arrowhead', 'given_info': {'P(X)': 0.4209685328, 'P(Y | X)': [0.3300971554, 0.6952657491]}, 'treated': True, 'polarity': False, 'groundtruth': 0.48132538360000005, 'query_type': 'marginal', 'rung': 1, 'formal_form': 'P(Y)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 587}","{'step0': 'Let V2 = skill; X = gender; V3 = occupation; Y = salary.', 'step1': 'X->V3,V2->V3,X->Y,V2->Y,V3->Y', 'step2': 'P(Y)', 'step3': 'P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)', 'step4': 'P(X=1) = 0.42\nP(Y=1 | X=0) = 0.33\nP(Y=1 | X=1) = 0.70', 'step5': '0.42*0.70 - 0.58*0.33 = 0.48', 'end': '0.48 > 0'}",587,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Gender has a direct effect on occupation and salary. Skill has a direct effect on occupation and salary. Occupation has a direct effect on salary. Skill is unobserved.",1,5,4,,,,False
3679,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and recovery. Hospital costs has a direct effect on recovery.
        


Method 1: We look at how hospital costs correlates with recovery case by case according to age. Method 2: We look directly at how hospital costs correlates with recovery in general.



To understand how hospital costs affects recovery, is it more correct to use the Method 1 than Method 2?",simpson_hospital-confounding-backadj-model847-spec7-q1,Method 1: We look at how hospital costs correlates with recovery case by case according to age. Method 2: We look directly at how hospital costs correlates with recovery in general.,"To understand how hospital costs affects recovery, is it more correct to use the Method 1 than Method 2?",yes,"{'story_id': 'simpson_hospital', 'graph_id': 'confounding', 'flipped': False, 'polarity': True, 'groundtruth': ['V1'], 'bad_candidate_set': [], 'given_info': [['V1'], []], 'query_type': 'backadj', 'rung': 2, 'formal_form': '[backdoor adjustment set for Y given X]', 'treatment': 'X', 'outcome': 'Y', 'model_id': 847}",,847,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Age has a direct effect on hospital costs and recovery. Hospital costs has a direct effect on recovery.",2,3,3,1.0,,,False
30846,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on kraz and hwax. Hwax has a direct effect on rukz. Kraz has a direct effect on rukz.
        


We know that pexu causes hwax and not kraz. hwax or kraz causes rukz.



Would an individual is rukz if pexu instead of not pexu?",nonsense8-diamond-det-counterfactual-model3801-spec3-q2,We know that pexu causes hwax and not kraz. hwax or kraz causes rukz.,Would an individual is rukz if pexu instead of not pexu?,yes,"{'story_id': 'nonsense8', 'graph_id': 'diamond', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3801}","{'step0': 'Let X = pexu; V3 = kraz; V2 = hwax; Y = rukz.', 'step1': 'X->V3,X->V2,V2->Y,V3->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nV3 = not V2\nY = V2 or V3', 'step5': 'Y = [1] = 1 or 0', 'end': '1'}",3801,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on kraz and hwax. Hwax has a direct effect on rukz. Kraz has a direct effect on rukz.",3,4,4,,,1.0,False
3221,no,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Obesity has a direct effect on diabetes and lifespan. Smoking has a direct effect on diabetes and lifespan. Diabetes has a direct effect on lifespan. Smoking is unobserved.
        


The overall probability of obesity is 10%. The probability of normal weight and long lifespan is 77%. The probability of obesity and long lifespan is 6%.



Is the chance of long lifespan larger when observing obesity?",obesity_mortality-arrowhead-correlation-model737-spec17-q0,The overall probability of obesity is 10%. The probability of normal weight and long lifespan is 77%. The probability of obesity and long lifespan is 6%.,Is the chance of long lifespan larger when observing obesity?,no,"{'story_id': 'obesity_mortality', 'graph_id': 'arrowhead', 'given_info': {'P(X=1)': 0.1049519746, 'P(Y=1, X=0)': 0.7679625227, 'P(Y=1, X=1)': 0.0570542438}, 'treated': True, 'polarity': True, 'groundtruth': -0.3143902492, 'query_type': 'correlation', 'rung': 1, 'formal_form': 'P(Y | X)', 'treatment': 'X', 'outcome': 'Y', 'model_id': 737}","{'step0': 'Let V2 = smoking; X = obesity; V3 = diabetes; Y = lifespan.', 'step1': 'X->V3,V2->V3,X->Y,V2->Y,V3->Y', 'step2': 'P(Y | X)', 'step3': 'P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)', 'step4': 'P(X=1=1) = 0.10\nP(Y=1, X=0=1) = 0.77\nP(Y=1, X=1=1) = 0.06', 'step5': '0.06/0.10 - 0.77/0.90 = -0.31', 'end': '-0.31 < 0'}",737,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Obesity has a direct effect on diabetes and lifespan. Smoking has a direct effect on diabetes and lifespan. Diabetes has a direct effect on lifespan. Smoking is unobserved.",1,5,4,,,,False
30868,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on rukz. Hwax has a direct effect on rukz.
        


We know that pexu or hwax causes rukz. We observed an individual is hwax.



Would an individual is rukz if not pexu instead of pexu?",nonsense8-fork-det-counterfactual-model3806-spec0-q4,We know that pexu or hwax causes rukz. We observed an individual is hwax.,Would an individual is rukz if not pexu instead of pexu?,yes,"{'story_id': 'nonsense8', 'graph_id': 'fork', 'given_info': {'V2': 1}, 'formal_form': 'Y_{X=0} = 1 | V2=1', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 3806}","{'step0': 'Let V2 = hwax; X = pexu; Y = rukz.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=1', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 1\nY = X or V2', 'step5': 'Y = 1 = 0 or 1', 'end': '1'}",3806,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Pexu has a direct effect on rukz. Hwax has a direct effect on rukz.",3,2,3,,,1.0,False
7428,yes,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Respiratory issues has a direct effect on hospitalization status. Broken bones has a direct effect on hospitalization status.
        


The overall probability of respiratory issues is 94%. For people with no respiratory issues and non-hospitalized individuals, the probability of broken bones is 93%. For people with no respiratory issues and hospitalized individuals, the probability of broken bones is 70%. For people with respiratory issues and non-hospitalized individuals, the probability of broken bones is 89%. For people with respiratory issues and hospitalized individuals, the probability of broken bones is 24%.



If we look at hospitalized individuals, does the chance of broken bones decrease when respiratory issues?",hospitalization-collision-exp_away-model4448-spec4-q1,"The overall probability of respiratory issues is 94%. For people with no respiratory issues and non-hospitalized individuals, the probability of broken bones is 93%. For people with no respiratory issues and hospitalized individuals, the probability of broken bones is 70%. For people with respiratory issues and non-hospitalized individuals, the probability of broken bones is 89%. For people with respiratory issues and hospitalized individuals, the probability of broken bones is 24%.","If we look at hospitalized individuals, does the chance of broken bones decrease when respiratory issues?",yes,"{'story_id': 'hospitalization', 'graph_id': 'collision', 'treated': True, 'result': True, 'baseline': True, 'polarity': False, 'given_info': {'P(X)': 0.9367996931, 'P(Y | X, V3)': [[0.9251429348, 0.7043940851], [0.8945520531000001, 0.2445675937]]}, 'collider': 'V3', 'groundtruth': -0.11095324740000001, 'formal_form': 'P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)', 'query_type': 'exp_away', 'rung': 1, 'treatment': 'X', 'outcome': 'Y', 'model_id': 4448}","{'step0': 'Let Y = broken bones; X = respiratory issues; V3 = hospitalization status.', 'step1': 'X->V3,Y->V3', 'step2': 'P(Y = 1 | X = 1, V3 = 1] - P(Y = 1 | V3 = 1)', 'step3': 'P(Y=1 | X=1, V3=1) - (P(X=1) * P(Y=1 | X=1, V3=1) + P(X=0) * P(Y=1 | X=0, V3=1))', 'step4': 'P(X=1) = 0.94\nP(Y=1 | X=0, V3=0) = 0.93\nP(Y=1 | X=0, V3=1) = 0.70\nP(Y=1 | X=1, V3=0) = 0.89\nP(Y=1 | X=1, V3=1) = 0.24', 'step5': '0.24 - (0.94*0.24 + 0.06*0.70) = -0.11', 'end': '-0.11 < 0'}",4448,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Respiratory issues has a direct effect on hospitalization status. Broken bones has a direct effect on hospitalization status.",1,2,3,,,,False
